Date,Name,Year,Letterboxd URI,Rating
2023-07-27,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3
2023-07-27,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-07-29,Interstellar,2014,https://boxd.it/4VZ8,5
2023-07-31,Oppenheimer,2023,https://boxd.it/wUow,4
2024-04-10,Barbie,2023,https://boxd.it/bCLK,4
2024-04-10,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2024-04-10,La La Land,2016,https://boxd.it/a5fa,4
2024-04-10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2024-04-10,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2024-04-10,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2024-04-10,10 Things I Hate About You,1999,https://boxd.it/23AO,5
2024-04-10,Jojo Rabbit,2019,https://boxd.it/iEBG,5
2024-04-10,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,2
2024-04-10,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2024-04-10,Nightcrawler,2014,https://boxd.it/780m,4
2024-04-10,Catch Me If You Can,2002,https://boxd.it/29VS,5
2024-04-10,Coraline,2009,https://boxd.it/1NhQ,4
2024-04-10,Shrek,2001,https://boxd.it/29zi,5
2024-04-10,The Devil Wears Prada,2006,https://boxd.it/2awE,4
2024-04-10,Home Alone,1990,https://boxd.it/29Fg,4
2024-04-10,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4
2024-04-10,Pride & Prejudice,2005,https://boxd.it/24u8,5
2024-04-10,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2024-04-10,The Lion King,1994,https://boxd.it/201Q,5
2024-04-10,Priscilla,2023,https://boxd.it/Cz3k,3
2024-04-10,Tangled,2010,https://boxd.it/15gO,5
2024-04-10,Split,2016,https://boxd.it/dgSy,5
2024-04-10,Clueless,1995,https://boxd.it/1Ygk,3
2024-04-10,"I, Tonya",2017,https://boxd.it/dzR0,4
2024-04-10,The Favourite,2018,https://boxd.it/d2hI,4
2024-04-10,Anyone But You,2023,https://boxd.it/EzA8,3
2024-04-10,The Great Gatsby,2013,https://boxd.it/JY,4
2024-04-10,Luca,2021,https://boxd.it/ipjC,3
2024-04-10,The Notebook,2004,https://boxd.it/1UNE,3
2024-04-10,About Time,2013,https://boxd.it/43bI,5
2024-04-10,The Pianist,2002,https://boxd.it/2aqc,5
2024-04-10,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4
2024-04-10,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2024-04-10,The Lego Movie,2014,https://boxd.it/4pDO,5
2024-04-10,Love Actually,2003,https://boxd.it/2aeU,3
2024-04-10,Ford v Ferrari,2019,https://boxd.it/ce74,4
2024-04-10,The Princess Bride,1987,https://boxd.it/26EY,5
2024-04-10,The Queen's Gambit,2020,https://boxd.it/s1Ym,4
2024-04-10,Notting Hill,1999,https://boxd.it/2aeK,4
2024-04-10,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,5
2024-04-10,Pretty Woman,1990,https://boxd.it/2b6M,4
2024-04-10,Now You See Me,2013,https://boxd.it/2Bsu,4
2024-04-10,Megamind,2010,https://boxd.it/16Sk,4
2024-04-10,Atonement,2007,https://boxd.it/24ui,5
2024-04-10,Chernobyl,2019,https://boxd.it/mkbG,5
2024-04-10,Maleficent,2014,https://boxd.it/3v1u,3
2024-04-10,The Lion King,2019,https://boxd.it/eSjI,2
2024-04-10,The King's Speech,2010,https://boxd.it/dX0,4
2024-04-10,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,4
2024-04-10,Transformers,2007,https://boxd.it/280c,1
2024-04-10,Enchanted,2007,https://boxd.it/24co,3
2024-04-10,First Man,2018,https://boxd.it/cPym,3
2024-04-10,Monster House,2006,https://boxd.it/1Z2e,4
2024-04-10,The King,2019,https://boxd.it/ieZs,4
2024-04-10,Moon Knight,2022,https://boxd.it/zeDq,3
2024-04-10,Passengers,2016,https://boxd.it/8lFu,3
2024-05-19,Dune,2021,https://boxd.it/fA7G,5
2024-05-29,Challengers,2024,https://boxd.it/zld0,4
2024-05-31,Dune: Part Two,2024,https://boxd.it/pUfA,5
2025-07-22,Superman,2025,https://boxd.it/E9IU,4
2025-07-22,F1,2025,https://boxd.it/yjVM,3
2025-07-22,Jurassic World Rebirth,2025,https://boxd.it/KUeE,3
2025-07-22,The Prestige,2006,https://boxd.it/293w,4
2025-07-24,Carry-On,2024,https://boxd.it/C0B2,4
2026-03-27,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2026-03-27,Howl's Moving Castle,2004,https://boxd.it/23De,4
2026-03-27,Prisoners,2013,https://boxd.it/4E5i,4
2026-03-27,The Truman Show,1998,https://boxd.it/18U8,4
2026-03-27,The Shining,1980,https://boxd.it/29Nu,4
2026-03-27,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2026-03-28,Zootopia 2,2025,https://boxd.it/F0vO,4
